"","id","ave_price","price_range"
"617",4069422,500,0
"618",4075898,289,0
"619",4080000,74.8888888888889,10
"620",4085362,75,0
"621",4089940,249,0
"622",4090224,545.134693877551,587
"623",4098410,106.057851239669,29
"624",4105704,135.12323943662,25
"625",4106372,274.212034383954,70
"626",4107959,120.492537313433,10
"627",4109165,251.275862068966,200
"628",4118162,289,0
"629",4119345,338.541666666667,300
"630",4132983,388.574468085106,240
"631",4143561,391.5,240
"632",4149974,104.550955414013,65
"633",4151979,500,0
"634",4160585,85,0
"635",4173285,89,0
"636",4177233,74,0
"637",4178790,343.656050955414,908
"638",4180178,60,0
"639",4181163,418.06976744186,170
"640",4181530,316.281690140845,182
"641",4190704,220,0
"642",4196643,251.907407407407,130
"643",4205641,108.416149068323,18
"644",4216208,91.7941176470588,36
"645",4223387,75,0
"646",4233242,119,0
"647",4255538,304.563139931741,62
"648",4261784,85,0
"649",4262255,80.1129568106312,20
"650",4263736,97.2553191489362,28
"651",4275846,114.620253164557,36
"652",4278067,175.681818181818,200
"653",4278873,80,0
"654",4279959,179,0
"655",4283698,104.733333333333,15
"656",4287348,105,0
"657",4293597,40,0
"658",4294835,60,0
"659",4303606,169.873846153846,74
"660",4304969,146.302721088435,54
"661",4314054,108.032490974729,20
"662",4331214,65,0
"663",4332035,231.741935483871,130
"664",4339392,170,0
"665",4340110,90.1796407185629,10
"666",4350898,89.4502923976608,18
"667",4350995,250,0
"668",4351970,99,0
"669",4358181,130,0
"670",4359160,122.835051546392,61
"671",4364925,244.261006289308,300
"672",4364989,172.938144329897,150
"673",4377247,227.190476190476,52
"674",4402209,100,0
"675",4402259,175,0
"676",4405982,407.547945205479,30
"677",4409653,479,200
"678",4409819,320.945619335347,332
"679",4410142,200,0
"680",4410765,135,0
"681",4431210,51.8651685393258,10
"682",4432035,277.166666666667,100
"683",4435883,200,0
"684",4445906,488.873417721519,190
"685",4446413,392.310810810811,240
"686",4447430,304.749103942652,225
"687",4456987,99,0
"688",4457943,96,18
"689",4460532,67.9047619047619,16
"690",4461111,45,0
"691",4461613,150,0
"692",4461846,147,0
"693",4461901,155,0
"694",4475740,78,0
"695",4479140,190,0
"696",4484747,51.8529411764706,10
"697",4484798,70.0110497237569,7
"698",4489490,229,0
"699",4489588,249,0
"700",4489752,206.674050632911,150
"701",4489920,365.511627906977,10
"702",4490826,394.743243243243,240
"703",4493030,272,0
"704",4494419,61.8295819935691,10
"705",4510513,229,0
"706",4516065,343,80
"707",4518100,180.548780487805,20
"708",4518380,188,0
"709",4518710,165,0
"710",4518756,165,0
"711",4526315,453.068965517241,125
"712",4526384,376.02027027027,100
"713",4527029,49.4094707520891,12
"714",4530670,79.2696629213483,5
"715",4532603,250.597315436242,170
"716",4538423,47.6603773584906,113
"717",4546333,211.216216216216,30
"718",4549374,208.542207792208,176
"719",4553903,197.458333333333,93
"720",4555637,71.8305084745763,29
"721",4558443,172.567567567568,20
"722",4559774,130.857142857143,5
"723",4560053,266.017964071856,225
"724",4565470,418.06976744186,170
"725",4567815,120,0
"726",4568116,108.5,45
"727",4573238,249.106007067138,90
"728",4573388,220.821305841924,130
"729",4573458,213.38127090301,130
"730",4574921,300,0
"731",4577188,161.866295264624,173
"732",4580825,273,30
"733",4583526,219.451219512195,105
"734",4586590,103.169014084507,21
"735",4586681,90,0
"736",4593974,39,0
"737",4598026,47,0
"738",4602191,395,0
"739",4603588,175,0
"740",4609785,75,0
"741",4614037,246.875,50
"742",4615251,83,0
"743",4628907,49,0
"744",4632511,305,0
"745",4635390,203.571428571429,16
"746",4638356,91.3555555555556,30
"747",4652263,195.657276995305,80
"748",4662379,423.737373737374,50
"749",4670285,65,0
"750",4679319,110,0
"751",4695542,69,0
"752",4698367,138.4375,50
"753",4699742,300,0
"754",4699828,148.929133858268,42
"755",4718577,120,0
"756",4737304,65,0
"757",4742275,125,0
"758",4750791,249.787671232877,100
"759",4765070,90,0
"760",4767023,209.31906614786,15
"761",4777111,173.27868852459,45
"762",4787233,200,0
"763",4787359,198.837209302326,50
"764",4793787,65.1147058823529,54
"765",4820071,121.69014084507,45
"766",4828640,61.4971751412429,5
"767",4838985,483.823529411765,225
"768",4860853,243.74375,357
"769",4861476,269.713467048711,70
"770",4863101,116.627388535032,37
"771",4863108,112.475409836066,32
"772",4868653,92.0231213872832,10
"773",4875342,75,0
"774",4879579,238.120879120879,290
"775",4900659,177,0
"776",4909590,107.653543307087,24
"777",4916260,306.918181818182,176
"778",4922204,211.98833819242,200
"779",4924009,104.257525083612,16
"780",4924910,164.103773584906,15
"781",4928894,183.904109589041,80
"782",4934600,140.584126984127,50
"783",4947526,126.188118811881,29
"784",4948724,274.275167785235,167
"785",4964365,181.383399209486,70
"786",4967219,69,0
"787",4972820,130,0
"788",4975581,176.733333333333,85
"789",4977034,400,0
"790",4995033,197.5,40
"791",4996375,122.574712643678,34
"792",5004278,175,0
"793",5019306,300,0
"794",5021859,50,0
"795",5025015,175,0
"796",5048406,78,0
"797",5049582,70,0
"798",5054601,75,0
"799",5064995,144.372881355932,5
"800",5067019,150,0
"801",5074924,243.283076923077,357
"802",5075267,242.819571865443,357
"803",5076880,232.227138643068,25
"804",5078127,274.025423728814,100
"805",5085125,75,0
"806",5088560,652.868965517241,816
"807",5124772,208.5,24
"808",5125723,100,0
"809",5146447,63,0
"810",5146451,63,0
"811",5146580,65,0
"812",5153080,167.016181229773,325
"813",5163162,257.271186440678,815
"814",5166870,169.375776397516,25
"815",5182313,112.777777777778,10
"816",5191658,250,0
"817",5212321,189,0
"818",5215982,285,0
"819",5222368,75,0
"820",5259996,225,0
"821",5267396,141.050147492625,73
"822",5269216,473.959322033898,1843
"823",5280183,110,0
"824",5280827,70.7022471910112,6
"825",5293067,49,0
"826",5308475,175,0
"827",5317935,350,0
"828",5344465,57.3863636363636,25
"829",5352623,291.761467889908,160
"830",5364137,99,0
"831",5371051,118.480519480519,40
"832",5371687,249,0
"833",5380160,313.101449275362,40
"834",5384923,176.855263157895,46
"835",5405928,200,0
"836",5434353,145,0
"837",5453775,97.8118811881188,12
"838",5454513,396.357340720222,720
"839",5455293,389.043859649123,720
"840",5478135,195,0
"841",5481243,150,0
"842",5495547,185,0
"843",5510597,62,0
"844",5511924,135,0
"845",5521378,85.8513513513514,19
"846",5526487,280.606811145511,176
"847",5526514,179.805970149254,120
"848",5532549,260,0
"849",5581575,314.671140939597,35
"850",5582163,181.081081081081,480
"851",5584915,135,0
"852",5588537,194.791666666667,50
"853",5592866,160,0
"854",5593888,99.9624060150376,46
"855",5593939,100,0
"856",5601743,49.8387096774194,14
"857",5606682,194.329305135952,139
"858",5616179,148.045325779037,20
"859",5620496,200,0
"860",5639731,243.74375,357
"861",5640375,243.566153846154,357
"862",5649821,300,0
"863",5659866,200.494736842105,47
"864",5661246,118.974719101124,25
"865",5676025,128.199004975124,35
"866",5684598,199,0
"867",5690424,697.641196013289,330
"868",5702292,79.7,26
"869",5706985,111.755813953488,100
"870",5709298,351.180379746835,1014
"871",5714786,240.735202492212,357
"872",5717528,110,0
"873",5717690,258.739644970414,1036
"874",5718801,150,0
"875",5718921,225,0
"876",5719606,335.575757575758,20
"877",5725804,130,0
"878",5726250,357.432432432432,200
"879",5727231,159,0
"880",5729845,60.4161849710983,5
"881",5734770,133.372881355932,38
"882",5739119,85.4,14
"883",5743939,299.9,21
"884",5755910,188.111111111111,219
"885",5768819,155.064724919094,5
"886",5769127,150,0
"887",5782221,284.266666666667,25
"888",5783197,617.824773413897,100
"889",5784404,91.2048192771084,61
"890",5791960,294.562091503268,927
"891",5801643,46.5149700598802,6
"892",5834413,390.122905027933,206
"893",5844314,60.55,18
"894",5851489,169,0
"895",5862806,67,0
"896",5870309,428.454022988506,275
"897",5870922,76.256,19
"898",5874408,75,0
"899",5882411,88,0
"900",5889190,95,0
"901",5891012,60,0
"902",5899031,350,0
"903",5903001,325,0
"904",5904732,70.4054054054054,15
"905",5918944,150,0
"906",5919529,669.246031746032,650
"907",5927267,75,0
"908",5932267,250,0
"909",5940866,75,0
"910",5952474,255.826229508197,320
"911",5953696,250,145
"912",5959251,375,0
"913",5967421,69.9130434782609,19
"914",5976821,110.028985507246,1
"915",5990808,125.324786324786,49
"916",5990896,86.4044943820225,5
"917",5991427,65,0
"918",5992501,249,0
"919",5999291,150.479704797048,10
"920",6000531,249,0
"921",6005290,80.4479166666667,26
"922",6006121,140.845323741007,35
"923",6006328,65,0
"924",6014302,65,0
"925",6014737,65,0
"926",6015021,358.865168539326,263
"927",6015995,288.022346368715,194
"928",6017574,426.315789473684,25
"929",6019555,64.5,5
"930",6027467,280.59217877095,229
"931",6038520,200,0
"932",6053700,450,0
"933",6059968,80,0
"934",6065674,406.868613138686,30
"935",6066455,879.105740181269,1100
"936",6075932,195.076696165192,6
"937",6080461,172.279635258359,125
"938",6088708,129.661016949153,40
"939",6089196,200,0
"940",6089865,146.452702702703,125
"941",6089975,269,0
"942",6104388,182.857142857143,20
"943",6106955,277.591549295775,214
"944",6118583,170,60
"945",6121709,146.655172413793,36
"946",6131224,220.062015503876,140
"947",6134145,456.822641509434,1262
"948",6134867,319.758169934641,793
"949",6142396,57.4935483870968,11
"950",6151079,118.708860759494,50
"951",6160803,230.501618122977,20
"952",6167184,204.654867256637,299
"953",6181230,251.735294117647,30
"954",6181758,451.35960591133,924
"955",6213822,395.385474860335,720
"956",6214710,156.28813559322,40
"957",6227976,104.666666666667,20
"958",6238463,129,0
"959",6240901,94.0228758169935,15
"960",6248970,65,0
"961",6261296,89.3841642228739,157
"962",6268082,180.428571428571,2
"963",6268395,358.865168539326,263
"964",6268805,280.217391304348,100
"965",6292261,143.147692307692,68
"966",6296656,312.91369047619,217
"967",6300089,237.709198813056,75
"968",6310903,350,0
"969",6314998,72.2325581395349,14
"970",6316145,188.421052631579,60
"971",6317304,230.112781954887,633
"972",6317446,308.501510574018,200
"973",6317722,297.495468277946,203
"974",6322283,69,0
"975",6323935,281.330769230769,833
"976",6324649,101.99674267101,11
"977",6326257,671.582352941177,705
"978",6337106,107.5,20
"979",6343532,410.094043887147,381
"980",6347026,155,0
"981",6356533,401.769230769231,170
"982",6364042,65.0906344410876,10
"983",6377998,479.449541284404,30
"984",6378076,180,0
"985",6390634,64,0
"986",6401859,84,0
"987",6409811,185.35446685879,50
"988",6410674,168.805970149254,80
"989",6425318,60,0
"990",6426364,199.38080495356,175
"991",6432655,156.073529411765,21
"992",6436334,150,0
"993",6444138,512.837209302326,220
"994",6444148,174.745033112583,155
"995",6444303,163.857142857143,33
"996",6445917,220,0
